,리뷰,별점,영업 시간,이미지url,가게명,가게 주소
0,치즈닭갈비 최고..! 치즈 풍미가 장난이 아니에요조리되어 나와서 바로 먹을 수 있고 양이 많아서 좋았어요배불러서 볶음밥 못먹음 ㅜㅜ,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
1,치즈 있는 닭갈비 처음 먹어봤는데 진짜 맛도리였어요. 여기 닭갈비가 매워서 치즈는 필수.. 그리고 강남역 한복판.. 사람들로 엄청 북적이는데 가게 내부는 넓어서 괜찮았어요. 저녁에는 시간에 따라 웨이팅도 있는듯.,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
2,맛은 그냥 보통임. 가운데에 치즈가 있어서 보기에는 괜춘함.,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
3,3/3일 방문 저녁 9시쯤 방문하여 밥먹는데 벽에서 쥐나와서 활보함... 쥐나왔는데 직원들은 별 개의치 않고 손님들만 개 기겁함 살다살다 식당에서 큰 쥐가 돌아다니는거 처음보네 덕분에 집갈 때 그림자만 봐도 쥐인가 식겁함... 어지간하면 댓글 안남기는데 이게 첫 댓글임,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
4,직원분이 너~무 불친절하세요불키라는 말도 안해주고 계속 명령조로 얘기하십니다ㅎㅎ,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
5,닭갈비 맛있습니다. 늘 사람이 많고 정신 없어서 서비스가 좀 아쉽습니다,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
6,고냥저냥,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
7,웨이팅 - 금요일 강남이여도 금방빠지긴 했습니다.위생 - 컵이 제대로 닦이지 않은걸 줘서 직원분 콜을 했는데 바꿔드릴까요? 라고 물어봅니다.직원 - 주문이 잘못들어간걸 다시 원래 주문대로 바꿔주면서 바꿔드렸어요~ 하고 빌지 툭 던지고 갑니다.설명 - 음식에 대한 설명을 하려는거 같은데 안하느니만 못하게 하십니다.건강 - 이거 먹고 배탈났습니다.재방문 - 안합니다.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
8,,4,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
9,가게 자체가 정신 없고 시끄럽고 직원분들이 많이 안 계셔서 그런지 벨을 여러번 눌러도 못 오시는 것 같아요. 주문하려면 10분 정도 기다려야 하더라구요. 닭갈비가 그렇게 먹음직스러워 보이지 않았지만 볶음밥이 맛있어서 2점 드려요..뼈없는닭갈비,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
