,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
0,단란주점영업,1,영업,광주광역시 광산구 쌍암동 666-1번지 2층 A동,또와7080,단란주점,광주광역시,광산구,광주광역시 광산구
1,단란주점영업,1,영업,광주광역시 광산구 신가동 986-4,호박,단란주점,광주광역시,광산구,광주광역시 광산구
2,단란주점영업,1,영업,광주광역시 광산구 우산동 1586-20 (지상 2층),헤라,단란주점,광주광역시,광산구,광주광역시 광산구
3,단란주점영업,1,영업,광주광역시 광산구 신창동 1222-1 3층,나랑,단란주점,광주광역시,광산구,광주광역시 광산구
4,단란주점영업,1,영업,광주광역시 광산구 신창동 1222-5 4층,혜리,단란주점,광주광역시,광산구,광주광역시 광산구
5,단란주점영업,1,영업,광주광역시 광산구 쌍암동 694-52 (2층),여우음악홀,단란주점,광주광역시,광산구,광주광역시 광산구
6,단란주점영업,1,영업,광주광역시 광산구 우산동 1609-15번지 (2층),술마시는탑노래홀,단란주점,광주광역시,광산구,광주광역시 광산구
7,단란주점영업,1,영업,광주광역시 광산구 쌍암동 694-53 (2층),스카이단란주점,단란주점,광주광역시,광산구,광주광역시 광산구
8,단란주점영업,1,영업,광주광역시 광산구 신가동 992-3번지 2층,팡팡음악홀,단란주점,광주광역시,광산구,광주광역시 광산구
9,단란주점영업,1,영업,광주광역시 광산구 월곡동 488-1,KTV(케이티브이),단란주점,광주광역시,광산구,광주광역시 광산구
10,단란주점영업,1,영업,광주광역시 광산구 우산동 1605-1,엘에이7080,단란주점,광주광역시,광산구,광주광역시 광산구
11,단란주점영업,1,영업,광주광역시 광산구 신가동 985-9번지 (4층),아지트7080,단란주점,광주광역시,광산구,광주광역시 광산구
12,단란주점영업,1,영업,광주광역시 광산구 우산동 1581-1번지 (지하1층),술마시는챠밍노래홀,단란주점,광주광역시,광산구,광주광역시 광산구
13,단란주점영업,1,영업,광주광역시 광산구 월계동 887-4,존,단란주점,광주광역시,광산구,광주광역시 광산구
14,단란주점영업,1,영업,광주광역시 광산구 신가동 1015-1 (2층),뽕,단란주점,광주광역시,광산구,광주광역시 광산구
15,단란주점영업,1,영업,광주광역시 광산구 월계동 886-5 외1필지(2층),오렌지,단란주점,광주광역시,광산구,광주광역시 광산구
16,단란주점영업,1,영업,광주광역시 광산구 월계동 891-2 (1층),밀크,단란주점,광주광역시,광산구,광주광역시 광산구
17,단란주점영업,1,영업,광주광역시 광산구 쌍암동 664-1 (2층),나도가수다7080,단란주점,광주광역시,광산구,광주광역시 광산구
18,단란주점영업,1,영업,광주광역시 광산구 월계동 877-7번지 (2층),버디홀,단란주점,광주광역시,광산구,광주광역시 광산구
19,단란주점영업,1,영업,광주광역시 광산구 월계동 884-3번지 (2층),스마트,단란주점,광주광역시,광산구,광주광역시 광산구
20,단란주점영업,1,영업,광주광역시 광산구 우산동 1585-1번지 외2필지(2층),좋은날,단란주점,광주광역시,광산구,광주광역시 광산구
21,단란주점영업,1,영업,광주광역시 광산구 월곡동 547-7,viet클럽,단란주점,광주광역시,광산구,광주광역시 광산구
22,단란주점영업,1,영업,광주광역시 광산구 월곡동 532-2,엑스포,단란주점,광주광역시,광산구,광주광역시 광산구
23,단란주점영업,1,영업,광주광역시 광산구 우산동 1574-12,뉴스타(New Star),단란주점,광주광역시,광산구,광주광역시 광산구
