영업상태구분코드,소재지면적,소재지전체주소,사업장명,위생업태명,시도,시군구,시도 시군구
1,201.33,광주광역시 광산구 쌍암동 666-5 (2층),준코뮤직타운광주첨단점,비어(바)살롱,광주광역시,광산구,광주광역시 광산구
1,86.45,광주광역시 광산구 쌍암동 661-2 (지상 3층),샴푸노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,91.14,광주광역시 광산구 쌍암동 661-2 (지상 2층),도드리,룸살롱,광주광역시,광산구,광주광역시 광산구
1,70,광주광역시 광산구 쌍암동 673-10 (2층),프러포즈,룸살롱,광주광역시,광산구,광주광역시 광산구
1,313.4,광주광역시 광산구 쌍암동 682-2 (지하1층),더블유(W),룸살롱,광주광역시,광산구,광주광역시 광산구
1,98.04,광주광역시 광산구 쌍암동 663-1,칸음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,257.84,광주광역시 광산구 쌍암동 662-7,미스싸이공,룸살롱,광주광역시,광산구,광주광역시 광산구
1,78.11,광주광역시 광산구 쌍암동 658-2,토마토 음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,95.31,광주광역시 광산구 월계동 873-15 (2층),노다지,룸살롱,광주광역시,광산구,광주광역시 광산구
1,96.63,광주광역시 광산구 쌍암동 668-3 (지상 2층),달콤,룸살롱,광주광역시,광산구,광주광역시 광산구
1,94.4,광주광역시 광산구 월계동 878-6,샤벨음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,79.01,광주광역시 광산구 월계동 877-5 (2층),나이스음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,96.56,광주광역시 광산구 우산동 1577-15,핑클음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,85.42,광주광역시 광산구 월계동 891-4,그래음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,54.72,광주광역시 광산구 우산동 1585-5 2층,뉴아하노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,86.52,광주광역시 광산구 우산동 1606-18,앗싸좋아좋아노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,122.37,광주광역시 광산구 우산동 1577-8,오페라,룸살롱,광주광역시,광산구,광주광역시 광산구
1,82.34,광주광역시 광산구 우산동 1574-5번지 지하1층,고래고래,룸살롱,광주광역시,광산구,광주광역시 광산구
1,64.93,광주광역시 광산구 우산동 1573-6 3층,에로스홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,73.05,광주광역시 광산구 쌍암동 668-1,백악관,룸살롱,광주광역시,광산구,광주광역시 광산구
1,279.69,광주광역시 광산구 쌍암동 661-7,케이펍(k-pub)유흥주점,룸살롱,광주광역시,광산구,광주광역시 광산구
1,317.57,광주광역시 광산구 수완동 954 3층,제니스뮤직타운,비어(바)살롱,광주광역시,광산구,광주광역시 광산구
1,66.92,광주광역시 광산구 월계동 892-2 2층 202호,텔미음악홀,기타,광주광역시,광산구,광주광역시 광산구
1,155.52,광주광역시 광산구 쌍암동 694-114 2층 202호,강남룸소주방,룸살롱,광주광역시,광산구,광주광역시 광산구
1,75.04,광주광역시 광산구 우산동 1581-1 2층,에이스노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,71.81,광주광역시 광산구 쌍암동 671-1,오렌지뮤직홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,71.19,광주광역시 광산구 쌍암동 694-132,술마시는체리룸소주방,룸살롱,광주광역시,광산구,광주광역시 광산구
1,35.61,광주광역시 광산구 우산동 1581-1 지하1층,챠밍음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,35.55,광주광역시 광산구 우산동 1606-18 2층,아모르,룸살롱,광주광역시,광산구,광주광역시 광산구
1,75,광주광역시 광산구 월계동 887-5,신세계음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,260.4,광주광역시 광산구 월계동 887-5,탐스룸소주방,간이주점,광주광역시,광산구,광주광역시 광산구
1,68.05,광주광역시 광산구 쌍암동 694-114번지,나비음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,230.4,광주광역시 광산구 쌍암동 668-7번지,크램린궁,룸살롱,광주광역시,광산구,광주광역시 광산구
1,122.6,광주광역시 광산구 쌍암동 661-6,궁전룸소주방,기타,광주광역시,광산구,광주광역시 광산구
1,89.78,광주광역시 광산구 하남동 748번지 5층 502호,부경,룸살롱,광주광역시,광산구,광주광역시 광산구
1,68.1,광주광역시 광산구 신창동 1126-4번지,S라인노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,118.2,광주광역시 광산구 우산동 1606-2,런던클럽,룸살롱,광주광역시,광산구,광주광역시 광산구
1,18.97,광주광역시 광산구 송정동 988,미정,룸살롱,광주광역시,광산구,광주광역시 광산구
1,245.38,광주광역시 광산구 우산동 1583-2,야호,룸살롱,광주광역시,광산구,광주광역시 광산구
1,148.51,광주광역시 광산구 우산동 1577-5,코러스,룸살롱,광주광역시,광산구,광주광역시 광산구
1,139.55,광주광역시 광산구 우산동 1606-6,킹,룸살롱,광주광역시,광산구,광주광역시 광산구
1,281.39,광주광역시 광산구 우산동 1585-2,갤럭시(Galaxy),룸살롱,광주광역시,광산구,광주광역시 광산구
1,90.2,광주광역시 광산구 쌍암동 666-7,호박음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,98,광주광역시 광산구 쌍암동 663-10 (2층),엔돌핀유흥주점,룸살롱,광주광역시,광산구,광주광역시 광산구
1,62.7,광주광역시 광산구 쌍암동 671-4 (2층),황후음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,70.27,광주광역시 광산구 쌍암동 671-4 (2층),칠공주음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,242,광주광역시 광산구 우산동 1606-1 (2층),포세이돈,룸살롱,광주광역시,광산구,광주광역시 광산구
1,67.3,광주광역시 광산구 쌍암동 682-2 (지하1층),더블유(W)노래홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,88.07,광주광역시 광산구 쌍암동 673-1 (2층),루비,룸살롱,광주광역시,광산구,광주광역시 광산구
1,87.53,광주광역시 광산구 쌍암동 667-7 (1층),아우다,룸살롱,광주광역시,광산구,광주광역시 광산구
1,64.24,광주광역시 광산구 쌍암동 664-1 (2층),양귀비,룸살롱,광주광역시,광산구,광주광역시 광산구
1,61.4,광주광역시 광산구 월계동 891-5 212호(2층),황금음악홀,룸살롱,광주광역시,광산구,광주광역시 광산구
1,61.5,광주광역시 광산구 월계동 891-5 213호(2층),BT유흥주점,룸살롱,광주광역시,광산구,광주광역시 광산구
