Row Labels,유흥업소 합계,인구,1인당 유흥업소 개수
강원도,1342,1521890,0.000881798
경기도,5299,13652529,0.000388133
경상남도,4249,3305931,0.001285266
경상북도,1853,2635314,0.000703142
광주광역시,588,1475262,0.000398573
대구광역시,1216,2387911,0.000509232
대전광역시,218,1479740,0.000147323
부산광역시,2327,3324335,0.00069999
서울특별시,1799,9472127,0.000189926
세종특별자치시,37,366227,0.00010103
울산광역시,1009,1120753,0.000900288
인천광역시,979,2957044,0.000331074
전라남도,1506,1778124,0.00084696
전라북도,961,1787053,0.000537757
제주특별자치도,765,673107,0.001136521
충청남도,1164,2175960,0.000534936
충청북도,781,1624764,0.000480685
Grand Total,26093,,
