성별,행정구역별,시점,평균시간 (시간)
전체,서울특별시,2015,6.4
전체,서울특별시,2016,6.5
전체,서울특별시,2017,6.5
전체,서울특별시,2018,6.6
전체,서울특별시,2019,6.5
전체,서울특별시 강남구,2015,6.5
전체,서울특별시 강남구,2016,6.5
전체,서울특별시 강남구,2017,6.5
전체,서울특별시 강남구,2018,6.6
전체,서울특별시 강남구,2019,6.6
전체,서울특별시 강동구,2015,6.4
전체,서울특별시 강동구,2016,6.4
전체,서울특별시 강동구,2017,6.5
전체,서울특별시 강동구,2018,6.5
전체,서울특별시 강동구,2019,6.4
전체,서울특별시 강북구,2015,6.4
전체,서울특별시 강북구,2016,6.4
전체,서울특별시 강북구,2017,6.4
전체,서울특별시 강북구,2018,6.5
전체,서울특별시 강북구,2019,6.5
전체,서울특별시 강서구,2015,6.4
전체,서울특별시 강서구,2016,6.6
전체,서울특별시 강서구,2017,6.5
전체,서울특별시 강서구,2018,6.5
전체,서울특별시 강서구,2019,6.5
전체,서울특별시 관악구,2015,6.5
전체,서울특별시 관악구,2016,6.5
전체,서울특별시 관악구,2017,6.5
전체,서울특별시 관악구,2018,6.7
전체,서울특별시 관악구,2019,6.5
전체,서울특별시 광진구,2015,6.4
전체,서울특별시 광진구,2016,6.5
전체,서울특별시 광진구,2017,6.5
전체,서울특별시 광진구,2018,6.6
전체,서울특별시 광진구,2019,6.5
전체,서울특별시 구로구,2015,6.5
전체,서울특별시 구로구,2016,6.4
전체,서울특별시 구로구,2017,6.4
전체,서울특별시 구로구,2018,6.5
전체,서울특별시 구로구,2019,6.5
전체,서울특별시 금천구,2015,6.5
전체,서울특별시 금천구,2016,6.6
전체,서울특별시 금천구,2017,6.5
전체,서울특별시 금천구,2018,6.5
전체,서울특별시 금천구,2019,6.6
전체,서울특별시 노원구,2015,6.4
전체,서울특별시 노원구,2016,6.5
전체,서울특별시 노원구,2017,6.5
전체,서울특별시 노원구,2018,6.6
전체,서울특별시 노원구,2019,6.5
전체,서울특별시 도봉구,2015,6.5
전체,서울특별시 도봉구,2016,6.4
전체,서울특별시 도봉구,2017,6.3
전체,서울특별시 도봉구,2018,6.3
전체,서울특별시 도봉구,2019,6.5
전체,서울특별시 동대문구,2015,6.5
전체,서울특별시 동대문구,2016,6.4
전체,서울특별시 동대문구,2017,6.5
전체,서울특별시 동대문구,2018,6.6
전체,서울특별시 동대문구,2019,6.5
전체,서울특별시 동작구,2015,6.4
전체,서울특별시 동작구,2016,6.5
전체,서울특별시 동작구,2017,6.4
전체,서울특별시 동작구,2018,6.6
전체,서울특별시 동작구,2019,6.5
전체,서울특별시 마포구,2015,6.5
전체,서울특별시 마포구,2016,6.6
전체,서울특별시 마포구,2017,6.6
전체,서울특별시 마포구,2018,6.6
전체,서울특별시 마포구,2019,6.5
전체,서울특별시 서대문구,2015,6.3
전체,서울특별시 서대문구,2016,6.4
전체,서울특별시 서대문구,2017,6.3
전체,서울특별시 서대문구,2018,6.7
전체,서울특별시 서대문구,2019,6.6
전체,서울특별시 서초구,2015,6.5
전체,서울특별시 서초구,2016,6.5
전체,서울특별시 서초구,2017,6.5
전체,서울특별시 서초구,2018,6.6
전체,서울특별시 서초구,2019,6.6
전체,서울특별시 성동구,2015,6.4
전체,서울특별시 성동구,2016,6.5
전체,서울특별시 성동구,2017,6.5
전체,서울특별시 성동구,2018,6.5
전체,서울특별시 성동구,2019,6.6
전체,서울특별시 성북구,2015,6.4
전체,서울특별시 성북구,2016,6.6
전체,서울특별시 성북구,2017,6.5
전체,서울특별시 성북구,2018,6.5
전체,서울특별시 성북구,2019,6.5
전체,서울특별시 송파구,2015,6.5
전체,서울특별시 송파구,2016,6.5
전체,서울특별시 송파구,2017,6.5
전체,서울특별시 송파구,2018,6.6
전체,서울특별시 송파구,2019,6.6
전체,서울특별시 양천구,2015,6.4
전체,서울특별시 양천구,2016,6.4
전체,서울특별시 양천구,2017,6.4
전체,서울특별시 양천구,2018,6.5
전체,서울특별시 양천구,2019,6.5
전체,서울특별시 영등포구,2015,6.5
전체,서울특별시 영등포구,2016,6.4
전체,서울특별시 영등포구,2017,6.4
전체,서울특별시 영등포구,2018,6.6
전체,서울특별시 영등포구,2019,6.5
전체,서울특별시 용산구,2015,6.5
전체,서울특별시 용산구,2016,6.5
전체,서울특별시 용산구,2017,6.5
전체,서울특별시 용산구,2018,6.6
전체,서울특별시 용산구,2019,6.6
전체,서울특별시 은평구,2015,6.5
전체,서울특별시 은평구,2016,6.5
전체,서울특별시 은평구,2017,6.5
전체,서울특별시 은평구,2018,6.6
전체,서울특별시 은평구,2019,6.4
전체,서울특별시 종로구,2015,6.5
전체,서울특별시 종로구,2016,6.5
전체,서울특별시 종로구,2017,6.4
전체,서울특별시 종로구,2018,6.6
전체,서울특별시 종로구,2019,6.4
전체,서울특별시 중구,2015,6.4
전체,서울특별시 중구,2016,6.5
전체,서울특별시 중구,2017,6.5
전체,서울특별시 중구,2018,6.5
전체,서울특별시 중구,2019,6.5
전체,서울특별시 중랑구,2015,6.5
전체,서울특별시 중랑구,2016,6.5
전체,서울특별시 중랑구,2017,6.5
전체,서울특별시 중랑구,2018,6.7
전체,서울특별시 중랑구,2019,6.5
전체,부산광역시,2015,6.5
전체,부산광역시,2016,6.5
전체,부산광역시,2017,6.5
전체,부산광역시,2018,6.7
전체,부산광역시,2019,6.6
전체,부산광역시 강서구,2015,6.6
전체,부산광역시 강서구,2016,6.6
전체,부산광역시 강서구,2017,6.6
전체,부산광역시 강서구,2018,6.7
전체,부산광역시 강서구,2019,6.6
전체,부산광역시 금정구,2015,6.6
전체,부산광역시 금정구,2016,6.6
전체,부산광역시 금정구,2017,6.7
전체,부산광역시 금정구,2018,6.7
전체,부산광역시 금정구,2019,6.5
전체,부산광역시 기장군,2015,6.5
전체,부산광역시 기장군,2016,6.6
전체,부산광역시 기장군,2017,6.6
전체,부산광역시 기장군,2018,6.6
전체,부산광역시 기장군,2019,6.6
전체,부산광역시 남구,2015,6.5
전체,부산광역시 남구,2016,6.5
전체,부산광역시 남구,2017,6.6
전체,부산광역시 남구,2018,6.7
전체,부산광역시 남구,2019,6.6
전체,부산광역시 동구,2015,6.6
전체,부산광역시 동구,2016,6.6
전체,부산광역시 동구,2017,6.4
전체,부산광역시 동구,2018,6.5
전체,부산광역시 동구,2019,6.5
전체,부산광역시 동래구,2015,6.6
전체,부산광역시 동래구,2016,6.6
전체,부산광역시 동래구,2017,6.6
전체,부산광역시 동래구,2018,6.9
전체,부산광역시 동래구,2019,6.7
전체,부산광역시 부산진구,2015,6.5
전체,부산광역시 부산진구,2016,6.5
전체,부산광역시 부산진구,2017,6.4
전체,부산광역시 부산진구,2018,6.6
전체,부산광역시 부산진구,2019,6.5
전체,부산광역시 북구,2015,6.6
전체,부산광역시 북구,2016,6.5
전체,부산광역시 북구,2017,6.5
전체,부산광역시 북구,2018,6.5
전체,부산광역시 북구,2019,6.6
전체,부산광역시 사상구,2015,6.5
전체,부산광역시 사상구,2016,6.4
전체,부산광역시 사상구,2017,6.6
전체,부산광역시 사상구,2018,6.7
전체,부산광역시 사상구,2019,6.6
전체,부산광역시 사하구,2015,6.6
전체,부산광역시 사하구,2016,6.5
전체,부산광역시 사하구,2017,6.5
전체,부산광역시 사하구,2018,6.6
전체,부산광역시 사하구,2019,6.5
전체,부산광역시 서구,2015,6.5
전체,부산광역시 서구,2016,6.4
전체,부산광역시 서구,2017,6.5
전체,부산광역시 서구,2018,6.6
전체,부산광역시 서구,2019,6.6
전체,부산광역시 수영구,2015,6.4
전체,부산광역시 수영구,2016,6.5
전체,부산광역시 수영구,2017,6.5
전체,부산광역시 수영구,2018,6.6
전체,부산광역시 수영구,2019,6.5
전체,부산광역시 연제구,2015,6.5
전체,부산광역시 연제구,2016,6.6
전체,부산광역시 연제구,2017,6.6
전체,부산광역시 연제구,2018,6.8
전체,부산광역시 연제구,2019,6.7
전체,부산광역시 영도구,2015,6.5
전체,부산광역시 영도구,2016,6.6
전체,부산광역시 영도구,2017,6.5
전체,부산광역시 영도구,2018,6.6
전체,부산광역시 영도구,2019,6.4
전체,부산광역시 중구,2015,6.6
전체,부산광역시 중구,2016,6.5
전체,부산광역시 중구,2017,6.4
전체,부산광역시 중구,2018,6.5
전체,부산광역시 중구,2019,6.6
전체,부산광역시 해운대구,2015,6.5
전체,부산광역시 해운대구,2016,6.6
전체,부산광역시 해운대구,2017,6.5
전체,부산광역시 해운대구,2018,6.6
전체,부산광역시 해운대구,2019,6.6
전체,대구광역시,2015,6.5
전체,대구광역시,2016,6.6
전체,대구광역시,2017,6.5
전체,대구광역시,2018,6.7
전체,대구광역시,2019,6.6
전체,대구광역시 남구,2015,6.5
전체,대구광역시 남구,2016,6.5
전체,대구광역시 남구,2017,6.7
전체,대구광역시 남구,2018,6.6
전체,대구광역시 남구,2019,6.4
전체,대구광역시 달서구,2015,6.5
전체,대구광역시 달서구,2016,6.7
전체,대구광역시 달서구,2017,6.5
전체,대구광역시 달서구,2018,6.7
전체,대구광역시 달서구,2019,6.6
전체,대구광역시 달성군,2015,6.7
전체,대구광역시 달성군,2016,6.6
전체,대구광역시 달성군,2017,6.6
전체,대구광역시 달성군,2018,6.6
전체,대구광역시 달성군,2019,6.6
전체,대구광역시 동구,2015,6.6
전체,대구광역시 동구,2016,6.7
