,회사이름,채용공고,회사평점,회사지역,자격요건
0,(주)피에스알미디어,빅데이터 전문가 채용,3.8,서울,"* 경력 : 책임연구원 급 (4~5년 이상,  빅데이터 전문가)
* 해당직무 근무경험자
* 데이터 분석 설계 능력
* 분석 기획서 작성
* 데이터 분석 결과 해석 능력
* 통계 및 기계 학습 모델에 대한 지식
"
1,(주)피에스알미디어,빅데이터 서비스 QA 전문가(QA엔지니어),3.8,서울,"* 경력 : 책임연구원 급 (4~5년 이상,  빅데이터 전문가)
* 해당직무 근무경험자
* 데이터 분석 설계 능력
* 분석 기획서 작성
* 데이터 분석 결과 해석 능력
* 통계 및 기계 학습 모델에 대한 지식
"
2,코넥시오에이치(주),빅데이터 엔지니어 (대용량 데이터 분산),5.0,서울,"• 빅데이터 기반 서비스의 QA 경험 또는 빅데이터 기반 서비스의 기획 경험이 있으신 분
• 소프트웨어 테스팅과 QA에 대한 기본적인 지식을 보유하신 분
• 버그 리포트, 결함 추적을 위한 보고 작성 및 관리 업무가 능숙하신 분
• 논리적 사고와 분석력을 보유하신 분
• 원활한 커뮤니케이션 능력을 보유하신 분
• QA 전문가라는 자부심과 책임감을 바탕으로 역량을 발휘하고자 하는 분"
3,코넥시오에이치(주),빅데이터 엔지니어(데이터 파이프라인) (신입가능),5.0,서울,"• 빅데이터 기반 서비스의 QA 경험 또는 빅데이터 기반 서비스의 기획 경험이 있으신 분
• 소프트웨어 테스팅과 QA에 대한 기본적인 지식을 보유하신 분
• 버그 리포트, 결함 추적을 위한 보고 작성 및 관리 업무가 능숙하신 분
• 논리적 사고와 분석력을 보유하신 분
• 원활한 커뮤니케이션 능력을 보유하신 분
• QA 전문가라는 자부심과 책임감을 바탕으로 역량을 발휘하고자 하는 분"
4,줌인터넷(주),[알라딘] AI기반 서비스 기획 및 빅데이터 분석,2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
• 경력이 2년 이상이신 분
• Python, Java, Shell 등에 대해 능숙하게 다룰 수 있는 언어가 하나 이상이신 분
• 자료구조, 알고리즘, 운영체제 등 전산학에 대한 지식이 있으신 분
• 데이터베이스 기초지식과 SQL 활용이 가능하신 분
• 리눅스 환경에서의 시스템 개발 및 운영 경험이 있으신 분"
5,줌인터넷(주),[Data Strategy] Data Analyst,2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
- 신입 또는 경력 2년 이상이신 분
- java 및 spring/spring boot 개발 역량이 있으시며 해당 개발 언어에 대한 기본 이해가 있으신 분
- database에 대한 이해 및 설계 가능하신 분: DB 정규화,DB INDEX,트랜잭션에 대한 개념의 이해 및 프로시저 구축 가능 하신 분
- 쿼리 작성 가능하신 분:테이블 조인 및 서브 쿼리 작성 가능하신 분
- nosql에 대한 이해도가 있으시며 활용 경험이 있으신 분 :mongo db,redis
- ETL/ELT 파이프라인 구축 경험이 있으신 분
- 파이썬으로 개발 경험이 있으신 분"
6,(주)한국신용데이터,빅데이터 엔지니어(크롤) (신입 가능),3.4,서울,"• 데이터 프러덕트 기획과 관련 통계 지식, 소상공인/카드 매출 데이터에 대한 이해를 보유하신 분
• 다양한 데이터 분석 경험 및 관련 기술을 보유하신 분
• 데이터 분석 도구(R,SAS,Python)를 능숙하게 활용하실 수 있는 분
• 분석 역량을 바탕으로 데이터에 기반한 문제 해결 경험이 많으신 분
• 데이터 상품/서비스 기획 관련 경험 및 대외고객 대상 데이터 분석/컨설팅 관련 이해를 보유하신 분
• 데이터 분석 결과를 기반으로 구성원들과 원활한 커뮤니케이션이 가능하신 분
• 새로운 데이터 상품/서비스를 개발하고 고객과 best practice를 찾는데 열정과 의지가 있으신 분"
7,줌인터넷(주),Data Engineer (경력),2.7,서울,"[이런 역량을 갖춘 분을 찾습니다]
- 신입 또는 경력 2년 이상이신 분
- java 및 spring/spring boot 개발 역량이 있으시며 해당 개발 언어에 대한 기본 이해가 있으신 분
- database에 대한 이해 및 설계 가능하신 분: DB 정규화,DB INDEX,트랜잭션에 대한 개념의 이해 및 프로시저 구축 가능 하신 분
- 쿼리 작성 가능하신 분:테이블 조인 및 서브 쿼리 작성 가능하신 분
- ETL/ELT 파이프라인 구축 경험이 있으신 분
- 파이썬으로 개발 경험이 있으신 분"
8,잡플래닛,"데이터 엔지니어(Data Engineer,주니어)",3.8,서울,"[조직소개]

  잡플래닛 Data Platform 팀은 Data 1st전략으로 서비스의 핵심 자산인 데이터의 최우선 활용을 위해 효율적인 데이터 수집/정제/저장/분석 환경을 구축합니다. 이를 위해 데이터플랫폼의 설계와 구축을 진행하고 안정적 운영을 담당합니다. DB, Log, Text, Image 등 다양한 형태의 정형/비정형 데이터를 모두 다루며 대용량 데이터로부터 인사이트를 효과적으로 뽑아낼 수 있는 기술적 기반을 제공하여 사업 성공에 중추적 역할을 합니다.

 [주요업무]

 • 서비스에 대한 이해를 바탕으로 최적의 데이터 파이프라인 및 데이터 플랫폼 구축 및 운영
 • 클라우드 기반 빅데이터 처리 솔루션들의 이해를 바탕으로 Data Lake 및 DW구축
 • 일관성 있고 활용도 높은 통합 로깅 및 분산추적 시스템 설계 및 운영
 • 데이터 분석 및 머신러닝을 위한 Raw Data의 효율적 정제 및 데이터 구조 정의
 • 데이터분석 라이브러리를 활용하여 분석 환경 개발 및 배포
 • 데이터 특성에 맞는 다양한 질의 툴 및 시각화 툴 도입 및 적용"
9,코넥시오에이치(주),[핀테크] 데이터 엔지니어,5.0,서울,"[요건]
• 대용량 데이터 처리를 위한 실시간 데이터 파이프라인 개발, 운영 경험이 있는 분이 필요해요.
• 데이터분석 아키텍처 설계 및 구현할 수 있는 역량을 지니신 분이 필요해요.
• 대용량 분산 시스템(OLAP DB 등) 활용 경험이 필요해요.
• 대용량 데이터 추출, 변환, 적재, 분석을 위한 소프트웨어역량을 갖춘 분이 필요해요.

[학력]
대졸 이상

[가타]
• 병역필 혹은 면제인 분이 필요해요.
• 해외여행에 결격 사유가 없는 분이 필요해요."
10,(주)리얼날리지,그로스해킹 담당자/데이터분석가(아날리스트)/Data Analyst,0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
11,(주)리얼날리지,데이터분석가(Global),0.0,서울,"주요 업무
ㆍ서비스를 성장시키기 위해 데이터를 분석하고 유저들과 소통하여 문제와 해결책을 찾는 일

이러한 그로스해킹 담당자를 찾습니다
ㆍ에피소든은 현재 130개국 이상의 나라의 사람들이 다양한 목적을 가지고 ‘영어회화’에 참여하는 서비스 입니다.
ㆍ현재 트래픽은 빠르게 성장하고 있으나, 세계 도처에서 발생하고 있는 마케팅 이벤트나 우리 서비스의 업데이트에 따라 상당히 요동치며 변화하는 편입니다.
ㆍ이를 관찰하여 포인트를 파악하고, 서비스에 몇 가지 변화만 주어도 유저의 사용시간이나 사용빈도가 크게 증가하기도 합니다. 
ㆍ특히 에피소든의 유저들이 어떤 경험을 하고 있는지를 데이터와 모니터링을 통해 관찰하고, 유저와 소통해가면서 가설을 설정하고 검증해야 하는 일입니다.
ㆍ그리고 그에 따라 문제상황을 해결할 수 있는 솔루션을 제시하여 적용할 수 있는 분을 원합니다. 
ㆍ모두가 처음 해보는 일이기 때문에 쉽지 않은 일이고, 가능성이 큰 만큼 해야할 일도 많습니다.
ㆍ하지만 한국 서비스로서 쉽게 접해보기 어려운 일인 글로벌 유저들을 만나며, 서비스를 키워보는 경험을 할 수 있는 자리입니다. 그런 일에 헌신하고 싶은 분을 찾습니다. "
