,기업이름,기업지역,기업연봉,기업평점
0,세이지리서치(주),서울,0,4.9
1,페이스북코리아(유),서울,"8,682",4.5
2,라이엇게임즈코리아,해외,"6,068",4.4
3,유니티테크놀로지스코리아(유),서울,"5,781",4.4
4,네이버웹툰,경기,"5,255",4.4
5,(주)핫셀러,서울,"4,675",4.3
6,구글코리아(유),서울,"6,969",4.3
7,(주)데이블,서울,"4,753",4.3
8,(주)디벨록,대전,"4,189",4.3
9,(주)페이타랩,부산,"3,176",4.3
10,(주)센드버드코리아,서울,"5,246",4.3
11,(주)벡터코리아아이티,서울,"4,896",4.2
12,행복쇼핑(주),서울,"3,418",4.2
13,(주)베이글코드,서울,"4,181",4.2
14,(주)큐픽스,경기,0,4.2
15,(주)쇼엠,인천,"2,910",4.2
16,구 카카오(주) ,경기,"3,837",4.2
17,버즈빌(주),서울,"4,435",4.1
18,(주)라바웨이브,서울,"4,565",4.1
19,(주)에이스프로젝트,서울,"3,408",4.1
20,(주)살다,서울,"4,158",4.1
21,네이버제트(주),경기,"5,286",4.1
22,(주)로드와이즈,서울,"4,389",4.1
23,에스에이피랩스코리아(주),서울,"7,001",4.1
24,시만텍코리아(주),서울,"6,339",4.0
25,지오그레이트(주),서울,"2,754",4.0
26,(주)무른모,인천,"2,906",4.0
27,(주)슈퍼브에이아이,서울,"4,233",4.0
28,네이버클라우드(주),경기,"5,715",4.0
29,피앤피시큐어(주),서울,"4,293",4.0
30,SK텔레콤(주),서울,"6,703",4.0
31,(주)당근마켓,서울,"5,220",4.0
32,아마존웹서비스,서울,"7,819",4.0
33,(주)셀메이트,서울,"3,194",4.0
34,네이버(주),경기,"5,921",3.9
35,넷마블에프앤씨(주),서울,"4,744",3.9
36,(주)생활연구소,경기,"4,166",3.9
37,(주)스냅컴퍼니,서울,"2,499",3.9
38,(주)이씨에스텔레콤,서울,"7,947",3.9
39,(주)코그넥스코리아,서울,"5,426",3.9
40,디에이전시(주),서울,"2,259",3.9
41,넷스루(주),서울,"3,617",3.9
42,우리에프아이에스(주),서울,"6,724",3.9
43,(주)오픈서베이,서울,"4,802",3.9
44,에스에이피코리아(주),서울,"6,782",3.9
45,캠프모바일,서울,"6,061",3.9
46,(주)클루커스,서울,"4,900",3.9
47,(주)파이브센스,서울,"2,648",3.9
48,테이블링(주),서울,"3,419",3.9
49,(주)버킷플레이스,서울,"4,111",3.9
50,(주)코그,대구,"3,149",3.9
51,퍼블리시(주),서울,"3,842",3.9
52,(주)크레비스파트너스,서울,"3,480",3.8
53,(주)플랜잇파트너스,서울,"4,175",3.8
54,(주)카카오,제주,"5,455",3.8
55,웰트(주),서울,"3,598",3.8
56,(주)드라마앤컴퍼니,서울,"5,244",3.8
57,(주)애드니즈컴퍼니,서울,"2,461",3.8
58,데브시스터즈(주),서울,"4,559",3.8
59,잡플래닛,서울,"3,724",3.8
60,(주)이랜서,서울,"3,035",3.8
61,(주)엑스와이지,서울,"3,837",3.8
62,유디피(주),서울,"3,880",3.8
63,(주)스윗코리아,해외,"5,241",3.8
64,한국아이티진흥(주),서울,"3,814",3.8
65,(주)알에스인터렉티브,서울,"3,478",3.8
66,(주)에스티엔인포텍,경기,"3,440",3.8
67,(주)넥슨코리아,경기,"5,112",3.7
68,(주)지란지교시큐리티,서울,"3,901",3.7
69,나이스정보통신(주),서울,"6,042",3.7
70,(주)우리요,전북,"3,338",3.7
71,(주)크몽,서울,"3,203",3.7
72,라인플러스(주),경기,"5,648",3.7
73,(주)오피지지,서울,"3,839",3.7
74,파이언넷(주),서울,"4,041",3.7
75,(주)우아한형제들,서울,"4,873",3.7
76,엠비아이솔루션(주),서울,"4,622",3.7
77,(주)지마켓,서울,"5,882",3.7
78,(주)코스콤,서울,"7,210",3.7
79,클래스팅(주),서울,"4,846",3.7
80,(주)네오플,제주,"4,475",3.7
81,(주)빅인사이트,서울,"4,378",3.7
82,(주)새움소프트,경기,"2,652",3.7
83,(주)오케이몰,서울,"4,347",3.7
84,브이씨엔씨(주),서울,"4,103",3.7
85,(주)힐링페이퍼,서울,"3,832",3.7
86,스터디코드네트웍스(주),서울,"2,783",3.7
87,제너시스템즈(주),서울,"4,278",3.7
88,(주)온다,서울,"3,913",3.7
89,(주)카이아이컴퍼니,서울,"3,692",3.7
90,카테노이드(주),서울,"4,182",3.7
91,코이웨어(주),서울,"3,623",3.7
92,(주)라이트브레인,서울,"3,456",3.6
93,(주)씨커스,서울,"2,497",3.6
94,콩테크(주),경기,"4,206",3.6
95,(주)머스트잇,서울,"3,586",3.6
96,(주)연합인포맥스,서울,"4,347",3.6
97,(주)액션스퀘어,경기,"4,288",3.6
98,(주)어반베이스,서울,"3,931",3.6
99,(주)에이치알맨파워그룹,서울,"2,736",3.6
