,date,index
1,2020-01-01,104.8
2,2020-02-01,105.14
3,2020-03-01,104.02
4,2020-04-01,101.7
5,2020-05-01,100.51
6,2020-06-01,101.24
7,2020-07-01,101.84
8,2020-08-01,102.11
9,2020-09-01,102.2
10,2020-10-01,101.24
11,2020-11-01,101.02
12,2020-12-01,101.78
13,2021-01-01,103.56
14,2021-02-01,105.22
15,2021-03-01,107.3
16,2021-04-01,108.41
17,2021-05-01,109.05
18,2021-06-01,110.11
19,2021-07-01,112.25
20,2021-08-01,113.42
21,2021-09-01,113.91
22,2021-10-01,115.69
23,2021-11-01,117.3
24,2021-12-01,117.26
25,2022-01-01,117.83
26,2022-02-01,119.24
27,2022-03-01,122.21
28,2022-04-01,125.47
29,2022-05-01,126.75
30,2022-06-01,127.8
31,2022-07-01,128.7
32,2022-08-01,127.27
33,2022-09-01,128.45
34,2022-10-01,128.87
35,2022-11-01,126.83
36,2022-12-01,124.78
